,broker,count,bamount,bcount,samount,scount,top3
597,东兴证券股份有限公司福州斗西路证券营业部,1,0.0,0,317.5,1,美格智能
598,国海证券股份有限公司南宁东葛路证券营业部,3,667.23,1,1279.13,2,"乐心医疗,新华都,二六三"
599,国海证券股份有限公司绍兴人民东路证券营业部,1,0.0,0,266.62,1,美格智能
600,中信证券股份有限公司北京复外大街证券营业部,2,59.23,1,306.72,1,"掌阅科技,二六三"
601,华泰证券股份有限公司嘉兴纺工路证券营业部,2,782.82,1,1211.07,1,皮阿诺
602,光大证券股份有限公司杭州庆春路证券营业部,2,727.57,1,492.67,1,皮阿诺
603,东方证券股份有限公司上海徐汇区肇嘉浜路证券营业部,2,618.09,1,666.66,1,皮阿诺
604,海通证券股份有限公司上海建国西路证券营业部,6,4921.1,3,5055.26,3,"杭州园林,皮阿诺"
605,湘财证券股份有限公司长沙韶山路证券营业部,1,0.0,0,1097.67,1,皮阿诺
606,东吴证券股份有限公司苏州狮山路营业部,1,0.0,0,516.4,1,皮阿诺
607,信达证券股份有限公司北京前门证券营业部,1,0.0,0,352.55,1,皮阿诺
608,华泰证券股份有限公司江阴分公司,2,0.0,0,792.81,2,"皮阿诺,利欧股份"
609,国信证券股份有限公司深圳红岭中路证券营业部,2,3093.21,2,0.0,0,英派斯
610,安信证券股份有限公司北京阜成门证券营业部,2,3287.96,2,0.0,0,英派斯
611,天风证券股份有限公司长沙韶山中路证券营业部,1,503.8,1,0.0,0,英派斯
612,网信证券有限责任公司沈阳兴华南街证券营业部,1,0.0,0,327.13,1,英派斯
613,方正证券股份有限公司岳阳华容迎宾北路证券营业部,1,0.0,0,309.38,1,英派斯
614,中国民族证券有限责任公司宁波中山西路证券营业部,3,1076.1,2,804.44,1,"哈三联,创源文化"
615,信达证券股份有限公司上海铁岭路证券营业部,1,968.4,1,0.0,0,华录百纳
616,华泰证券股份有限公司南京浦泗路证券营业部,1,161.4,1,0.0,0,华录百纳
617,光大证券股份有限公司长沙芙蓉中路证券营业部,1,149.62,1,0.0,0,华录百纳
618,信达证券股份有限公司蚌埠淮河路证券营业部,1,124.92,1,0.0,0,华录百纳
619,大通证券股份有限公司上海民生路证券营业部,1,0.0,0,1081.38,1,华录百纳
620,中国银河证券股份有限公司上海杨浦区靖宇东路证券营业部,3,4807.7,2,1125.02,1,"联创互联,奥联电子"
621,民生证券股份有限公司广州金穗路证券营业部,1,1029.22,1,0.0,0,联创互联
622,申万宏源西部证券有限公司福州杨桥东路证券营业部,1,993.55,1,0.0,0,联创互联
623,英大证券有限责任公司沈阳青年大街证券营业部,1,855.19,1,0.0,0,联创互联
624,信达证券股份有限公司上海黄埔区九江路证券营业部,5,8437.34,5,0.0,0,"鱼跃医疗,迪安诊断,银江股份,"
625,海通证券股份有限公司上海黄浦区福州路证券营业部,1,670.56,1,0.0,0,联创互联
626,中信证券股份有限公司海宁海昌南路证券营业部,1,0.0,0,3354.84,1,联创互联
627,九州证券股份有限公司浙江分公司,1,0.0,0,2013.71,1,联创互联
628,华宝证券有限责任公司深圳新闻路证券营业部,1,0.0,0,1946.91,1,联创互联
629,天风证券股份有限公司深圳平安金融中心证券营业部,1,0.0,0,1889.51,1,联创互联
630,申万宏源证券有限公司扬州扬子江中路证券营业部,1,0.0,0,767.91,1,银江股份
631,中国银河证券股份有限公司武汉光谷证券营业部,1,0.0,0,1802.17,1,联创互联
632,招商证券股份有限公司杭州文三路证券营业部,2,1056.42,1,550.4,1,"安凯客车,银江股份"
633,中信建投证券股份有限公司上海浦东南路证券营业部,1,0.0,0,1384.06,1,天玑科技
634,华泰证券股份有限公司上海牡丹江路证券营业部,1,0.0,0,523.83,1,天玑科技
635,财通证券股份有限公司常熟枫林路证券营业部,1,2562.71,1,0.0,0,达安股份
636,国元证券股份有限公司宣城叠嶂西路证券营业部,3,2568.19,2,1194.44,1,"森霸股份,启迪设计"
637,中信证券股份有限公司深圳滨海大道证券营业部,2,3399.81,2,0.0,0,"盐湖股份,启迪设计"
638,招商证券股份有限公司福州六一中路证券营业部,1,0.0,0,417.08,1,达安股份
639,广发证券股份有限公司郑州农业路营业部,1,0.0,0,1354.28,1,启迪设计
640,国泰君安证券股份有限公司福州华林路证券营业部,1,657.41,1,0.0,0,广和通
641,中信证券股份有限公司上海恒丰路证券营业部,1,527.01,1,0.0,0,广和通
642,安信证券股份有限公司北京远大路证券营业部,2,1110.83,2,0.0,0,"东山精密,广和通"
643,中信建投证券股份有限公司苏州工业园区星海街证券营业部,3,2374.19,2,772.4,1,"中通国脉,安凯客车,建科院"
644,国泰君安证券股份有限公司宁波彩虹北路证券营业部,4,1620.03,2,4807.34,2,"哈三联,中通国脉,京威股份,"
645,申万宏源西部证券有限公司深圳上步中路证券营业部,1,0.0,0,270.39,1,建科院
646,国泰君安证券股份有限公司北京德外大街证券营业部,1,0.0,0,253.97,1,建科院
647,西南证券股份有限公司太原长治路证券营业部,1,295.34,1,0.0,0,电工合金
648,安信证券股份有限公司梅州兴宁迎宾大道证券营业部,3,758.48,1,2865.29,2,"纵横通信,电工合金"
649,中国银河证券股份有限公司南京洪武路证券营业部,1,0.0,0,526.29,1,万马科技
650,海通证券股份有限公司嵊州西前街证券营业部,2,1245.28,2,0.0,0,"华通热力,森霸股份"
651,中信建投证券股份有限公司简阳雄州大道证券营业部,1,410.95,1,0.0,0,天宇股份
652,方正证券股份有限公司绍兴胜利东路证券营业部,3,902.66,2,821.4,1,"中通国脉,天宇股份,三超新材"
653,万联证券股份有限公司东莞簪花路证券营业部,1,0.0,0,371.41,1,天宇股份
654,招商证券股份有限公司深圳东门南路证券营业部,1,0.0,0,368.36,1,天宇股份
655,中国银河证券股份有限公司北京学院南路证券营业部,1,0.0,0,270.88,1,天宇股份
