code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date,net_profit_ratio,gross_profit_rate,business_income,bips,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days,mbrg,nprg,nav,targ,epsg,seg
2008,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,永新股份,0.25,-3.85,,4.71,,8330.74,-4.2,,08-08,9.29,21.374000000000002,896.5821,2.6704,2.3512,76.5567,2.5746,69.9138,0.6531,275.6086,6.4082,-4.5038,2.009,4.4813,-3.8462,1.9345
2017,东信和平,0.07,-14.12,,2.54,,2337.91,-14.12,,08-05,4.04,27.6665,578.6719,1.6704,2.8128,63.9932,1.0097,178.2708,0.4803,374.7658,-5.2837,-27.3517,9.5516,4.3681,-14.1221,9.6215
2019,,,,,,,,,,,,,,,,,,,,,,,,,,
2027,,,,,,,,,,,,,,,,,,,,,,,,,,
2035,,,,,,,,,,,,,,,,,,,,,,,,,,
2036,,,,,,,,,,,,,,,,,,,,,,,,,,
2038,,,,,,,,,,,,,,,,,,,,,,,,,,
2052,,,,,,,,,,,,,,,,,,,,,,,,,,
2053,,,,,,,,,,,,,,,,,,,,,,,,,,
2055,,,,,,,,,,,,,,,,,,,,,,,,,,
2068,,,,,,,,,,,,,,,,,,,,,,,,,,
2069,,,,,,,,,,,,,,,,,,,,,,,,,,
2072,,,,,,,,,,,,,,,,,,,,,,,,,,
2076,,,,,,,,,,,,,,,,,,,,,,,,,,
2084,,,,,,,,,,,,,,,,,,,,,,,,,,
2087,,,,,,,,,,,5.31,18.8232,2583.1839,3.1625,4.6326,38.8551,1.5645,115.0527,0.5517,326.2643,41.6555,102.0705,9.8334,3.9477,28.6371,9.1935
2089,,,,,,,,,,,,,,,,,,,,,,,,,,
2090,,,,,,,,,,,,,,,,,,,,,,,,,,
2092,,,,,,,,,,,,,,,,,,,,,,,,,,
2105,,,,,,,,,,,,,,,,,,,,,,,,,,
2110,,,,,,,,,,,,,,,,,,,,,,,,,,
2117,东港股份,0.27,2.66,,6.43,,9985.27,2.65,,08-09,13.85,39.9016,720.7301,1.9812,1.9282,93.3513,4.9285,36.5223,0.5710000000000001,315.2364,3.53,9.3911,7.3506,5.9981,2.6552,7.9365
2126,,,,,,,,,,,,,,,,,,,,,,,,,,
2132,,,,,,,,,,,,,,,,,,,,,,,,,,
2134,*ST普林,-0.03,-75.0,,-1.93,,-810.48,-71.55,,07-31,-3.94,6.5748,205.6341,0.8364,1.8945,95.0119,2.3079,77.993,0.7723,233.0701,15.5921,,-15.6615,-9.8933,-75.0,-15.6503
2137,,,,,,,,,,,,,,,,,,,,,,,,,,
2139,拓邦股份,0.14,16.67,,5.25,,9395.15,89.15,,07-31,7.81,24.3955,1202.5182,1.7678,2.0671,87.0785,3.6178,49.754,0.7231,248.9282,63.0543,95.9954,13.2668,16.7981,16.6667,12.9714
2144,,,,,,,,,,,,,,,,,,,,,,,,,,
2149,,,,,,,,,,,,,,,,,,,,,,,,,,
2150,,,,,,,,,,,,,,,,,,,,,,,,,,
2152,,,,,,,,,,,,,,,,,,,,,,,,,,
2162,悦心健康,0.01,-427.27,,1.49,,1225.23,-430.44,,08-03,3.03,35.8052,404.2723,0.4744,3.1199,57.6942,0.785,229.2994,0.5996,300.2001,24.9592,,6.1169,-1.5968,-427.2727,6.046
2163,,,,,,,,,,,,,,,,,,,,,,,,,,
2164,,,,,,,,,,,,,,,,,,,,,,,,,,
2165,红宝丽,0.07,-41.67,,2.59,,4058.62,-35.87,,07-29,3.6,15.5457,1124.7403,1.8681,3.3710000000000004,53.3966,3.4506,52.1648,0.8372,215.0024,30.6874,-34.8237,3.7722,22.8788,-41.6667,3.775
2168,深圳惠程,-0.08,166.67,,-5.34,,-6488.82,208.67,,08-01,-42.61,27.3689,152.2787,0.1855,1.2495,144.0576,1.7665,101.8964,0.1571,1145.767,41.8744,,16.8895,46.9543,166.6667,16.9034
2176,江特电机,0.04,-50.0,,1.66,,6207.84,-41.97,,08-08,6.08,24.5417,1020.8626,0.6948,1.3927,129.2454,1.0088,178.4298,0.2679,671.8925,-22.7691,-43.3451,-18.4858,-9.9813,-50.0,-18.637
2182,云海金属,0.15,-31.61,,6.58,,9570.28,36.85,,07-28,4.08,13.2823,2344.6293,3.627,3.2536,55.3233,3.2503,55.3795,1.2676,142.0006,32.5436,36.2846,7.7691,13.964,-31.6081,12.8185
