code,name,eps,eps_yoy,roe,net_profits,profits_yoy,net_profit_ratio,gross_profit_rate,business_income,bips,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days,mbrg,nprg,nav,targ,epsg,seg
300428,四通新材,0.82,-14.58,11.71,6212.66,6.56,8.32,13.0137,745.992,9.2325,7.575,47.5248,9.3906,38.3362,1.8826,191.2249,7.1872,6.5607,113.2522,42.2022,-14.5833,113.2522
300429,强力新材,1.16,1.46,17.29,8651.38,27.25,25.86,44.5964,334.4386,4.1909,8.802999999999999,40.8951,2.9364,122.5991,1.2643,284.7425,21.2026,27.1132,129.1632,77.33,1.4561,129.5767
300430,诚益通,0.59,-48.25,10.24,5359.25,2.91,15.55,34.8077,344.4957,3.5412,2.6483,135.9363,0.9835,366.0397,0.555,648.6486,7.8282,2.9082,96.3102,24.5402,-48.2456,96.3102
300431,暴风集团,0.7,48.94,33.84,17331.37,313.23,26.57,65.5075,652.1101,2.3717,2.7567,130.5909,4.1686,86.3599,1.0773,334.1688,68.8504,276.9949,130.2725,197.4685,48.9362,123.5493
300432,富临精工,0.57,-62.28,23.33,17370.6,27.0,20.21,34.7505,859.4078,2.3872,5.1792,69.5088,4.7722,75.4369,1.1788,305.3953,22.8477,27.0005,126.9965,73.3885,-62.2754,128.1356
300433,蓝思科技,2.35,21.13,16.6,154275.42,31.09,8.95,23.8392,17227.3847,25.5842,5.7844,62.2364,6.6099,54.4638,2.3087,155.9319,18.834,31.1055,40.639,12.3553,21.134,40.6883
300434,金石东方,0.38,-39.68,7.19,2338.06,-27.18,19.96,39.3357,117.1121,1.7222,10.0187,35.9328,1.2653,284.5175,0.4047,889.5478,-32.2386,-27.1767,73.1612,50.5378,-39.6825,73.1612
300435,,,,,,,19.97,35.0658,462.464,5.6674,2.4419,147.4262,2.496,144.2308,0.6878,523.408,6.8613,15.564,115.4059,33.2042,-7.5188,115.4059
300436,广生堂,0.92,-38.22,27.15,10349.46,23.55,33.5,87.818,308.9234,2.2065,44.2736,8.1313,3.2864,109.5424,1.1199,321.4573,21.3998,23.5493,230.9692,168.0337,-38.2245,230.9692
300437,清水源,0.64,-13.42,11.0,3912.16,5.87,9.82,23.4489,398.0336,5.9675,9.1885,39.1794,6.9382,51.8867,1.4852,242.3916,-6.2468,5.8658,80.3745,56.7399,-13.4217,80.3745
