code,name,eps,eps_yoy,roe,net_profits,profits_yoy,net_profit_ratio,gross_profit_rate,business_income,bips,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days,mbrg,nprg,nav,targ,epsg,seg,earnings,fluctuate
601318,,,,,,,8.67,12.2943,265643.0,14.5317,,,,,,,,10.0517,17.7556,15.3051,11.2069,18.3449,40.0,50.0
601328,交通银行,0.26,0.0,3.03,1932300.0,1.35,35.2,43.6877,54885.0,0.7390000000000001,,,,,,,,1.1388,17.1032,17.9527,0.0,17.180999999999994,10.0,10.0
601333,,,,,,,6.55,10.3503,4309.3966,0.6083,1.3130000000000002,68.5453,11.7893,7.633999999999999,0.7729,116.4446,7.4176,-13.4872,1.9515,3.3993,-13.0435,1.9701,-0.0,20.0
601336,,,,,,,4.11,6.2025,44595.0,14.2953,,,,,,,,-7.8736,7.6179,6.8992,-7.8125,7.6169,40.0,40.0
601339,百隆东方,0.08,14.29,1.54,11362.74,14.32,8.24,18.1275,1377.4718,0.9183,2.424,37.1287,0.4053,222.0577,0.2285,393.8731,21.9588,14.3197,8.7037,9.3137,14.2857,8.7037,10.0,10.0
601366,利群股份,0.17,13.33,4.11,11444.44,10.76,3.92,20.4668,2916.2968,4.2604,20.8849,4.3093,1.7773,50.6386,1.2171,73.9463,0.9289,10.7508,,,13.3333,,-30.0,50.0
601368,,,,,,,24.16,46.6374,273.9211,0.3722,1.6753,53.7217,4.3605,20.6398,0.2237,402.3245,4.591,-1.3176,8.2267,6.9209,-1.3158,8.2267,-10.0,20.0
601369,陕鼓动力,0.03,-50.0,0.94,5708.99,-43.96,7.25,22.071,786.7699,0.48,0.3356,268.1764,0.3993,225.3944,0.0678,1327.4336,-22.486,-42.5533,-1.6793,0.7025,-50.0,-1.5532,-0.0,10.0
601375,,,,,,,23.63,35.7994,423.3135,0.1078,,,,,,,,-8.6087,,,-25.0,,-10.0,30.0
601377,兴业证券,0.1,25.0,2.13,68198.48,35.39,34.71,43.4462,1964.632,0.2933,,,,,,,,32.4452,13.2474,17.2465,25.0,7.1451,10.0,10.0
601388,,,,,,,8.62,10.8084,1199.6456,0.5923,1.9211,46.8482,1.0571,85.1386,0.3901,230.7101,77.4151,,6.4838,22.0099,-266.6667,6.4837,-10.0,30.0
601390,中国中铁,0.11,7.0,1.84,262258.3,15.32,1.95,8.9101,133992.358,5.8654,0.9187,97.9645,0.5329,168.8872,0.2252,399.6448,5.2267,19.3604,9.904,5.575,7.0,8.1822,0.0,10.0
601398,工商银行,0.21,0.0,3.95,7578600.0,1.37,39.98,51.9209,189525.0,0.5317,,,,,,,,1.4993,9.1187,8.8344,0.0,9.101,20.0,20.0
601500,,,,,,,3.25,14.1668,899.8429,1.2378,2.7114,33.1932,0.8908,101.0328,0.4544,198.0634,62.4164,47.2968,,,0.0,,-20.0,30.0
